user_id,group,sessions,time_spent,purchases,revenue,conversion,engagement_level,conversion_probability
1,control,6,9.37816956126749,0,1.14887996653344,0,Medium,0.301775498232872
2,treatment,6,8.88575200464027,0,39.963835475912,0,Medium,0.298650169542079
3,control,3,9.62009135208633,1,24.0525693613309,1,Low,0.30030329499033
4,control,5,9.78096312806473,0,14.3678310890297,0,Medium,0.30046344274855
5,control,4,10.810629272409,0,211.764035234149,0,Low,0.281870317903777
6,treatment,4,11.0782403441418,0,27.9431535487204,0,Low,0.298281629771712
7,control,10,9.69683182447142,0,26.747067862801,0,High,0.297943091988137
8,control,3,9.92179192761552,0,31.0974750906161,0,Low,0.299368342442908
9,control,2,3.78614796160163,0,6.17360948483096,0,Low,0.307797312292304
10,treatment,6,9.09598465388391,0,24.969241811664,0,Medium,0.299836478818022
11,control,4,12.8613706330385,0,20.5041069434212,0,Low,0.297294485713378
12,control,4,10.8973904004371,0,31.2860596175234,0,Low,0.29814339723335
13,control,8,7.85372914665375,0,97.1132484347021,0,High,0.293791452826273
14,control,5,9.2249644341829,1,10.7082858075457,1,Medium,0.301326679756714
15,treatment,4,8.80660004832171,1,46.7914337393687,1,Low,0.298677214315514
16,control,7,12.1402176859797,1,1.91818269377687,1,High,0.298810248713188
17,treatment,4,11.9372330201263,0,19.0478330945022,0,Low,0.298294990572627
18,treatment,2,8.43798478784796,1,31.9952631124953,1,Low,0.300974830074152
19,treatment,2,10.01975212528,1,3.85912742642202,1,Low,0.302089379951695
20,control,3,7.73244628694837,1,39.2596076565945,1,Low,0.300675385449715
21,treatment,3,8.74676938185412,0,18.5767853687394,0,Low,0.30163417134372
22,control,8,8.82048904040437,1,246.753299884891,1,High,0.27944036872631
23,treatment,6,8.59547548438472,0,49.8437994226798,0,Medium,0.298012307227423
24,treatment,0,10.7324090764739,0,13.9972835210087,0,Low,0.301061885628436
25,treatment,8,12.6982889484952,0,5.41676041959634,0,High,0.297673405568353
26,treatment,5,9.87945345644411,1,2.07860229585887,1,Medium,0.30150857449504
27,treatment,4,7.89010871285877,0,4.75803908887493,0,Low,0.303434826266999
28,treatment,5,10.4162134918102,0,56.9810161229007,0,Medium,0.295942165881918
29,treatment,7,10.4189477956861,1,96.5484134487877,1,High,0.291749201405339
30,treatment,6,9.62250433497326,0,8.52358905902342,0,Medium,0.300861500723591
31,control,3,13.7182296092823,1,25.719469451425,1,Low,0.296303590100536
32,control,4,10.4882540417722,1,21.8660074964359,1,Low,0.299396387207842
33,treatment,2,11.1476436937841,0,51.7140460225839,0,Low,0.296610992644384
34,treatment,4,5.51558019945471,0,10.0860996104952,0,Low,0.305192303168101
35,treatment,1,8.07421728075158,0,153.221234988434,0,Low,0.290491716905685
36,control,9,11.0278181300285,1,65.2000414639851,1,High,0.293464847069146
37,treatment,3,10.5676308708634,1,155.134568740844,1,Low,0.287450577065641
38,control,1,9.24301214877724,0,16.2428449763305,0,Low,0.301967459530326
39,control,5,10.9071301580343,0,44.3020984169109,0,Medium,0.296646809622341
40,control,4,11.8546003844743,0,65.8884281953533,0,Low,0.294074487335955
41,control,6,9.05434715831342,1,62.0588562014523,1,Medium,0.296459466364894
42,control,5,8.75399736821395,0,1.0788611187975,0,Medium,0.302665236568174
43,treatment,8,9.4880321508487,0,318.538642043945,0,High,0.27252908295096
44,treatment,5,10.9962743805593,1,131.596123109399,1,Medium,0.288611096603735
45,treatment,7,8.85480952718423,0,6.37758426802875,0,High,0.301492270614168
46,treatment,4,11.7058366842473,0,39.2156432057713,0,Low,0.296656690890197
47,treatment,1,9.03597480273872,1,18.8844569890885,1,Low,0.301918050487139
48,control,5,8.88087306786063,0,105.554460765552,0,Medium,0.292930803950136
49,treatment,4,14.6928987137294,0,59.7869449061638,0,Low,0.291994459886216
50,treatment,3,7.53083176127375,0,12.649036579614,0,Low,0.303334935743396
51,control,2,11.5634360772348,0,1.72238566218416,0,Low,0.300829912862792
52,treatment,12,6.38712065952896,0,17.2473283098842,0,High,0.301351510918796
53,control,5,11.3163553970182,1,1.9441766862403,1,Medium,0.300165919295483
54,treatment,10,15.383589347629,0,7.617406860759,0,High,0.294383272098194
55,control,6,12.1140845223921,0,50.5490359237878,0,Medium,0.294657917732634
56,treatment,1,12.6761379785931,0,68.3412694971783,0,Low,0.293951182552897
57,treatment,6,9.80783522708263,0,31.5571778536596,0,Medium,0.298559245066196
58,control,2,11.884536877349,0,45.8505333850547,0,Low,0.296460138719052
59,control,4,10.4973158455242,0,8.47332903536785,0,Low,0.300625787264456
